year,alcohol per capita,country
1961,0.41,REPUBLIC OF KOREA
1962,0.41,REPUBLIC OF KOREA
1963,0.34,REPUBLIC OF KOREA
1964,0.33,REPUBLIC OF KOREA
1965,0.5,REPUBLIC OF KOREA
1966,0.6,REPUBLIC OF KOREA
1967,0.2,REPUBLIC OF KOREA
1968,0.18,REPUBLIC OF KOREA
1969,0.19,REPUBLIC OF KOREA
1970,0.21,REPUBLIC OF KOREA
1971,0.23,REPUBLIC OF KOREA
1972,0.23,REPUBLIC OF KOREA
1973,0.26,REPUBLIC OF KOREA
1974,0.3,REPUBLIC OF KOREA
1975,0.38,REPUBLIC OF KOREA
1976,0.4,REPUBLIC OF KOREA
1977,0.42,REPUBLIC OF KOREA
1978,0.4,REPUBLIC OF KOREA
1979,0.38,REPUBLIC OF KOREA
1980,0.38,REPUBLIC OF KOREA
1981,0.42,REPUBLIC OF KOREA
1982,0.44,REPUBLIC OF KOREA
1983,0.45,REPUBLIC OF KOREA
1984,0.48,REPUBLIC OF KOREA
1985,0.44,REPUBLIC OF KOREA
1986,0.45,REPUBLIC OF KOREA
1987,0.46,REPUBLIC OF KOREA
1988,0.52,REPUBLIC OF KOREA
1989,0.5,REPUBLIC OF KOREA
1990,0.59,REPUBLIC OF KOREA
1991,2.47,REPUBLIC OF KOREA
1992,0.58,REPUBLIC OF KOREA
1993,2.61,REPUBLIC OF KOREA
1994,2.7,REPUBLIC OF KOREA
1995,2.67,REPUBLIC OF KOREA
1996,0.16,REPUBLIC OF KOREA
1997,0.12,REPUBLIC OF KOREA
1998,0.09,REPUBLIC OF KOREA
1999,0.12,REPUBLIC OF KOREA
2000,0.46,REPUBLIC OF KOREA
2001,0.47,REPUBLIC OF KOREA
2002,0.52,REPUBLIC OF KOREA
2003,0.47,REPUBLIC OF KOREA
2004,0.32,REPUBLIC OF KOREA
2005,0.34,REPUBLIC OF KOREA
2006,0.33,REPUBLIC OF KOREA
2007,0.37,REPUBLIC OF KOREA
2008,0.33,REPUBLIC OF KOREA
2009,0.27,REPUBLIC OF KOREA
2010,0.4,REPUBLIC OF KOREA
2011,0.37799999999999995,REPUBLIC OF KOREA
2012,0.37,REPUBLIC OF KOREA
2013,0.38,REPUBLIC OF KOREA
2014,0.39,REPUBLIC OF KOREA
2015,0.64,REPUBLIC OF KOREA
2016,0.574,REPUBLIC OF KOREA
2017,0.5870000000000001,REPUBLIC OF KOREA
2018,0.599,REPUBLIC OF KOREA
2019,0.612,REPUBLIC OF KOREA
1960,3.26,UNITED STATES
1961,3.26,UNITED STATES
1962,3.41,UNITED STATES
1963,3.44,UNITED STATES
1964,3.6,UNITED STATES
1965,3.75,UNITED STATES
1966,3.86,UNITED STATES
1967,3.97,UNITED STATES
1968,4.16,UNITED STATES
1969,4.28,UNITED STATES
1970,4.2,UNITED STATES
1971,4.24,UNITED STATES
1972,4.13,UNITED STATES
1973,4.16,UNITED STATES
1974,4.2,UNITED STATES
1975,4.2,UNITED STATES
1976,4.16,UNITED STATES
1977,4.01,UNITED STATES
1978,4.05,UNITED STATES
1979,4.01,UNITED STATES
1980,3.94,UNITED STATES
1981,3.86,UNITED STATES
1982,3.71,UNITED STATES
1983,3.63,UNITED STATES
1984,3.56,UNITED STATES
1985,3.41,UNITED STATES
1986,3.18,UNITED STATES
1987,3.1,UNITED STATES
1988,2.99,UNITED STATES
1989,2.91,UNITED STATES
1990,2.91,UNITED STATES
1991,2.69,UNITED STATES
1992,2.69,UNITED STATES
1993,2.57,UNITED STATES
1994,2.46,UNITED STATES
1995,2.38,UNITED STATES
