,country,year,household debt,labour comp per hour,age group,poverty rate,internet access,unemployment rate
0,Australia,1995,94.86145,5.638905,,,,8.472281
1,Australia,1995,94.86145,52.416612,,,,8.472281
2,Australia,1996,98.62147,6.317506,,,,8.506114
3,Australia,1996,98.62147,55.728035,,,,8.506114
4,Australia,1997,106.6224,2.936676,,,,8.362488
5,Australia,1997,106.6224,57.364587,,,,8.362488
6,Australia,1998,114.0952,3.603118,,,,7.677428999999999
7,Australia,1998,114.0952,59.4315,,,,7.677428999999999
8,Australia,1999,120.429,1.888844,,,,6.873791000000001
9,Australia,1999,120.429,60.55406899999999,,,,6.873791000000001
10,Australia,2000,125.2092,5.489816,,,,6.285546
11,Australia,2000,125.2092,63.878376,,,,6.285546
12,Australia,2001,130.5223,5.170806,,,,6.742172999999999
13,Australia,2001,130.5223,67.181403,,,,6.742172999999999
14,Australia,2002,150.0406,3.6334239999999998,,,,6.368911
15,Australia,2002,150.0406,69.622388,,,,6.368911
16,Australia,2003,161.5096,4.3395150000000005,,,,5.92842
17,Australia,2003,161.5096,72.643662,,,,5.92842
18,Australia,2004,171.8057,3.4185809999999996,,,,5.3967339999999995
19,Australia,2004,171.8057,75.127044,,,,5.3967339999999995
20,Australia,2005,181.8293,4.108213,,,60.0,5.033881
21,Australia,2005,181.8293,78.213424,,,60.0,5.033881
22,Australia,2006,186.9583,5.25018,,,64.0,4.78524
23,Australia,2006,186.9583,82.319769,,,64.0,4.78524
24,Australia,2007,189.7027,6.134464,,,67.0,4.379151
25,Australia,2007,189.7027,87.369646,,,67.0,4.379151
26,Australia,2008,183.4667,5.4118699999999995,,,72.0,4.23433
27,Australia,2008,183.4667,92.097977,,,72.0,4.23433
28,Australia,2009,189.4346,0.712338,,,,5.560385
29,Australia,2009,189.4346,92.754026,,,,5.560385
30,Australia,2010,187.3372,7.812032,,,78.92,5.2133400000000005
31,Australia,2010,187.3372,100.0,,,78.92,5.2133400000000005
32,Australia,2011,185.9569,2.7852259999999998,,,,5.081195
33,Australia,2011,185.9569,102.785226,,,,5.081195
34,Australia,2012,187.2603,3.054148,0-17,0.129,83.0,5.223376
35,Australia,2012,187.2603,3.054148,total,0.14,83.0,5.223376
36,Australia,2012,187.2603,3.054148,18-65,0.107,83.0,5.223376
37,Australia,2012,187.2603,3.054148,66+,0.335,83.0,5.223376
38,Australia,2012,187.2603,105.92443899999999,0-17,0.129,83.0,5.223376
39,Australia,2012,187.2603,105.92443899999999,total,0.14,83.0,5.223376
40,Australia,2012,187.2603,105.92443899999999,18-65,0.107,83.0,5.223376
41,Australia,2012,187.2603,105.92443899999999,66+,0.335,83.0,5.223376
42,Australia,2013,187.7718,2.9209549999999997,,,,5.66194
43,Australia,2013,187.7718,109.01844399999999,,,,5.66194
44,Australia,2014,191.8578,1.182617,0-17,0.13,85.89,6.077244
45,Australia,2014,191.8578,1.182617,total,0.128,85.89,6.077244
46,Australia,2014,191.8578,1.182617,18-65,0.102,85.89,6.077244
47,Australia,2014,191.8578,1.182617,66+,0.257,85.89,6.077244
48,Australia,2014,191.8578,110.30771499999999,0-17,0.13,85.89,6.077244
49,Australia,2014,191.8578,110.30771499999999,total,0.128,85.89,6.077244
50,Australia,2014,191.8578,110.30771499999999,18-65,0.102,85.89,6.077244
51,Australia,2014,191.8578,110.30771499999999,66+,0.257,85.89,6.077244
52,Australia,2015,199.3722,2.6819509999999998,,,,6.056423000000001
53,Australia,2015,199.3722,113.26611399999999,,,,6.056423000000001
54,Australia,2016,206.6359,-0.260905,0-17,0.125,86.11,5.710301
55,Australia,2016,206.6359,-0.260905,total,0.121,86.11,5.710301
56,Australia,2016,206.6359,-0.260905,18-65,0.094,86.11,5.710301
57,Australia,2016,206.6359,-0.260905,66+,0.23199999999999998,86.11,5.710301
58,Australia,2016,206.6359,112.970597,0-17,0.125,86.11,5.710301
59,Australia,2016,206.6359,112.970597,total,0.121,86.11,5.710301
60,Australia,2016,206.6359,112.970597,18-65,0.094,86.11,5.710301
61,Australia,2016,206.6359,112.970597,66+,0.23199999999999998,86.11,5.710301
62,Australia,2017,212.8164,1.896506,,,,5.59376
63,Australia,2017,212.8164,115.113092,,,,5.59376
64,Australia,2018,216.8332,,0-17,0.133,,5.299829
65,Australia,2018,216.8332,,total,0.124,,5.299829
66,Australia,2018,216.8332,,18-65,0.096,,5.299829
67,Australia,2018,216.8332,,66+,0.237,,5.299829
68,Austria,1995,65.85123,70.453389,,,,3.699785
69,Austria,1996,68.45939,-0.031777,,,,4.139831
70,Austria,1996,68.45939,70.431001,,,,4.139831
71,Austria,1997,70.87100000000001,0.7103619999999999,,,,4.242406
72,Austria,1997,70.87100000000001,70.93131600000001,,,,4.242406
73,Austria,1998,70.46921,3.820385,,,,4.235766
74,Austria,1998,70.46921,73.641165,,,,4.235766
75,Austria,1999,73.53783,1.918016,,,,3.727968
76,Austria,1999,73.53783,75.053614,,,,3.727968
77,Austria,2000,75.41841,2.617126,,,,3.533025
78,Austria,2000,75.41841,77.017862,,,,3.533025
79,Austria,2001,77.01186,1.991982,,,,3.5908599999999997
80,Austria,2001,77.01186,78.552044,,,,3.5908599999999997
81,Austria,2002,78.95232,2.389616,,,,3.951978
82,Austria,2002,78.95232,80.429136,,,,3.951978
83,Austria,2003,79.08277,2.177083,,,,4.286487
84,Austria,2003,79.08277,82.180145,,,,4.286487
85,Austria,2004,81.19778000000001,1.6501150000000002,,,,5.49025
86,Austria,2004,81.19778000000001,83.536212,,,,5.49025
87,Austria,2005,87.18607,2.7890580000000003,,,46.6887,5.628417
88,Austria,2005,87.18607,85.866085,,,46.6887,5.628417
89,Austria,2006,88.55872,3.966906,,,52.2965,5.246718
90,Austria,2006,88.55872,89.272312,,,52.2965,5.246718
91,Austria,2007,88.36625,3.148747,0-17,0.09699999999999999,59.623000000000005,4.8589519999999995
92,Austria,2007,88.36625,3.148747,total,0.09699999999999999,59.623000000000005,4.8589519999999995
93,Austria,2007,88.36625,3.148747,18-65,0.08800000000000001,59.623000000000005,4.8589519999999995
94,Austria,2007,88.36625,3.148747,66+,0.133,59.623000000000005,4.8589519999999995
95,Austria,2007,88.36625,92.083271,0-17,0.09699999999999999,59.623000000000005,4.8589519999999995
96,Austria,2007,88.36625,92.083271,total,0.09699999999999999,59.623000000000005,4.8589519999999995
97,Austria,2007,88.36625,92.083271,18-65,0.08800000000000001,59.623000000000005,4.8589519999999995
98,Austria,2007,88.36625,92.083271,66+,0.133,59.623000000000005,4.8589519999999995
99,Austria,2008,89.79839,3.0423240000000003,0-17,0.098,68.92,4.129104
100,Austria,2008,89.79839,3.0423240000000003,total,0.09300000000000001,68.92,4.129104
101,Austria,2008,89.79839,3.0423240000000003,18-65,0.083,68.92,4.129104
102,Austria,2008,89.79839,3.0423240000000003,66+,0.127,68.92,4.129104
103,Austria,2008,89.79839,94.884743,0-17,0.098,68.92,4.129104
104,Austria,2008,89.79839,94.884743,total,0.09300000000000001,68.92,4.129104
105,Austria,2008,89.79839,94.884743,18-65,0.083,68.92,4.129104
106,Austria,2008,89.79839,94.884743,66+,0.127,68.92,4.129104
107,Austria,2009,90.11239,4.226997,0-17,0.11,69.7507,5.298988
108,Austria,2009,90.11239,4.226997,total,0.096,69.7507,5.298988
109,Austria,2009,90.11239,4.226997,18-65,0.086,69.7507,5.298988
110,Austria,2009,90.11239,4.226997,66+,0.11599999999999999,69.7507,5.298988
111,Austria,2009,90.11239,98.89551800000001,0-17,0.11,69.7507,5.298988
112,Austria,2009,90.11239,98.89551800000001,total,0.096,69.7507,5.298988
113,Austria,2009,90.11239,98.89551800000001,18-65,0.086,69.7507,5.298988
114,Austria,2009,90.11239,98.89551800000001,66+,0.11599999999999999,69.7507,5.298988
115,Austria,2010,93.71614,1.116817,0-17,0.1,72.8891,4.821680000000001
116,Austria,2010,93.71614,1.116817,total,0.08900000000000001,72.8891,4.821680000000001
117,Austria,2010,93.71614,1.116817,18-65,0.079,72.8891,4.821680000000001
118,Austria,2010,93.71614,1.116817,66+,0.113,72.8891,4.821680000000001
119,Austria,2010,93.71614,100.0,0-17,0.1,72.8891,4.821680000000001
120,Austria,2010,93.71614,100.0,total,0.08900000000000001,72.8891,4.821680000000001
121,Austria,2010,93.71614,100.0,18-65,0.079,72.8891,4.821680000000001
122,Austria,2010,93.71614,100.0,66+,0.113,72.8891,4.821680000000001
123,Austria,2011,93.2784,2.0352189999999997,0-17,0.092,75.4407,4.566622
124,Austria,2011,93.2784,2.0352189999999997,total,0.091,75.4407,4.566622
125,Austria,2011,93.2784,2.0352189999999997,18-65,0.087,75.4407,4.566622
126,Austria,2011,93.2784,2.0352189999999997,66+,0.10800000000000001,75.4407,4.566622
127,Austria,2011,93.2784,102.035219,0-17,0.092,75.4407,4.566622
128,Austria,2011,93.2784,102.035219,total,0.091,75.4407,4.566622
129,Austria,2011,93.2784,102.035219,18-65,0.087,75.4407,4.566622
130,Austria,2011,93.2784,102.035219,66+,0.10800000000000001,75.4407,4.566622
