year,alcohol per capita,country
1961,2.08,JAPAN
1962,2.05,JAPAN
1963,1.91,JAPAN
1964,1.79,JAPAN
1965,1.51,JAPAN
1966,1.64,JAPAN
1967,1.61,JAPAN
1968,1.63,JAPAN
1969,1.49,JAPAN
1970,1.56,JAPAN
1971,1.62,JAPAN
1972,1.73,JAPAN
1973,1.74,JAPAN
1974,1.84,JAPAN
1975,1.93,JAPAN
1976,2.1,JAPAN
1977,2.22,JAPAN
1978,2.28,JAPAN
1979,2.52,JAPAN
1980,2.25,JAPAN
1981,2.26,JAPAN
1982,2.42,JAPAN
1983,2.67,JAPAN
1984,3.03,JAPAN
1985,2.94,JAPAN
1986,2.93,JAPAN
1987,2.81,JAPAN
1988,3.05,JAPAN
1989,2.63,JAPAN
1990,3.01,JAPAN
1991,2.6,JAPAN
1992,2.69,JAPAN
1993,2.87,JAPAN
1994,2.77,JAPAN
1995,2.8,JAPAN
1996,2.87,JAPAN
1997,2.88,JAPAN
1998,2.78,JAPAN
1999,2.99,JAPAN
2000,2.94,JAPAN
2001,3.05,JAPAN
2002,3.14,JAPAN
2003,3.33,JAPAN
2004,3.41,JAPAN
2005,3.36,JAPAN
2006,3.37,JAPAN
2007,2.62,JAPAN
2008,2.62,JAPAN
2009,2.64,JAPAN
2010,2.63,JAPAN
2011,2.64,JAPAN
2012,2.63,JAPAN
2013,2.7,JAPAN
2014,2.64,JAPAN
2015,2.74,JAPAN
2016,2.7,JAPAN
2017,2.69,JAPAN
2018,2.68,JAPAN
2019,2.67,JAPAN
