,continent,country,year,age,suicides_no,population,gdp_per_capita ($),s_rate
0,Europe,Albania,1987,15-24 years,35,602600,796,5.81
1,Europe,Albania,1987,25-34 years,13,531500,796,2.45
2,Europe,Albania,1987,35-54 years,22,586800,796,3.75
3,Europe,Albania,1987,5-14 years,0,649200,796,0.0
4,Europe,Albania,1987,55-74 years,1,282100,796,0.35
5,Europe,Albania,1987,75+ years,2,57400,796,3.48
6,Europe,Albania,1988,15-24 years,25,614800,769,4.07
7,Europe,Albania,1988,25-34 years,10,542300,769,1.84
8,Europe,Albania,1988,35-54 years,18,598600,769,3.01
9,Europe,Albania,1988,5-14 years,0,662200,769,0.0
10,Europe,Albania,1988,55-74 years,7,287700,769,2.43
11,Europe,Albania,1988,75+ years,3,58700,769,5.11
12,Europe,Albania,1989,15-24 years,17,623400,833,2.73
13,Europe,Albania,1989,25-34 years,20,549900,833,3.64
14,Europe,Albania,1989,35-54 years,22,607000,833,3.62
15,Europe,Albania,1989,5-14 years,0,671600,833,0.0
16,Europe,Albania,1989,55-74 years,7,291700,833,2.4
17,Europe,Albania,1989,75+ years,2,59500,833,3.36
18,Europe,Albania,1992,15-24 years,16,556100,251,2.88
19,Europe,Albania,1992,25-34 years,11,512900,251,2.14
20,Europe,Albania,1992,35-54 years,14,666900,251,2.1
21,Europe,Albania,1992,5-14 years,0,699600,251,0.0
22,Europe,Albania,1992,55-74 years,6,324400,251,1.85
23,Europe,Albania,1992,75+ years,0,62600,251,0.0
24,Europe,Albania,1993,15-24 years,28,528600,437,5.3
25,Europe,Albania,1993,25-34 years,16,491900,437,3.25
26,Europe,Albania,1993,35-54 years,17,681500,437,2.49
27,Europe,Albania,1993,5-14 years,2,707300,437,0.28
28,Europe,Albania,1993,55-74 years,9,334500,437,2.69
29,Europe,Albania,1993,75+ years,1,63500,437,1.57
30,Europe,Albania,1994,15-24 years,12,524800,697,2.29
31,Europe,Albania,1994,25-34 years,10,492500,697,2.03
32,Europe,Albania,1994,35-54 years,11,705300,697,1.56
33,Europe,Albania,1994,5-14 years,1,716200,697,0.14
34,Europe,Albania,1994,55-74 years,12,346000,697,3.47
35,Europe,Albania,1994,75+ years,4,64500,697,6.2
36,Europe,Albania,1995,15-24 years,24,524700,835,4.57
37,Europe,Albania,1995,25-34 years,20,496900,835,4.02
38,Europe,Albania,1995,35-54 years,22,732300,835,3.0
39,Europe,Albania,1995,5-14 years,8,725200,835,1.1
40,Europe,Albania,1995,55-74 years,11,358400,835,3.07
41,Europe,Albania,1995,75+ years,3,65900,835,4.55
42,Europe,Albania,1996,15-24 years,33,531300,1127,6.21
43,Europe,Albania,1996,25-34 years,24,503200,1127,4.77
44,Europe,Albania,1996,35-54 years,21,741600,1127,2.83
45,Europe,Albania,1996,5-14 years,3,734500,1127,0.41
46,Europe,Albania,1996,55-74 years,4,363000,1127,1.1
47,Europe,Albania,1996,75+ years,4,66600,1127,6.01
48,Europe,Albania,1997,15-24 years,54,538400,793,10.03
49,Europe,Albania,1997,25-34 years,52,509900,793,10.2
50,Europe,Albania,1997,35-54 years,37,750900,793,4.93
51,Europe,Albania,1997,5-14 years,10,743300,793,1.35
52,Europe,Albania,1997,55-74 years,12,367300,793,3.27
53,Europe,Albania,1997,75+ years,5,67500,793,7.41
54,Europe,Albania,1998,15-24 years,59,544400,899,10.84
55,Europe,Albania,1998,25-34 years,36,515700,899,6.98
56,Europe,Albania,1998,35-54 years,38,760300,899,5.0
57,Europe,Albania,1998,5-14 years,3,752200,899,0.4
58,Europe,Albania,1998,55-74 years,15,372000,899,4.03
59,Europe,Albania,1998,75+ years,3,68100,899,4.41
60,Europe,Albania,1999,15-24 years,43,547400,1127,7.86
61,Europe,Albania,1999,25-34 years,32,518800,1127,6.17
62,Europe,Albania,1999,35-54 years,36,764700,1127,4.71
63,Europe,Albania,1999,5-14 years,1,756500,1127,0.13
64,Europe,Albania,1999,55-74 years,20,374000,1127,5.35
65,Europe,Albania,1999,75+ years,7,68300,1127,10.25
66,Europe,Albania,2000,15-24 years,11,503900,1299,2.18
67,Europe,Albania,2000,25-34 years,20,477800,1299,4.19
68,Europe,Albania,2000,35-54 years,9,706900,1299,1.27
69,Europe,Albania,2000,5-14 years,1,699600,1299,0.14
70,Europe,Albania,2000,55-74 years,10,345400,1299,2.9
71,Europe,Albania,2000,75+ years,3,62700,1299,4.78
72,Europe,Albania,2001,15-24 years,19,527398,1451,3.6
73,Europe,Albania,2001,25-34 years,26,429255,1451,6.06
74,Europe,Albania,2001,35-54 years,46,749017,1451,6.14
75,Europe,Albania,2001,5-14 years,8,628912,1451,1.27
76,Europe,Albania,2001,55-74 years,17,386469,1451,4.4
77,Europe,Albania,2001,75+ years,3,78298,1451,3.83
78,Europe,Albania,2002,15-24 years,29,539037,1573,5.38
79,Europe,Albania,2002,25-34 years,30,429971,1573,6.98
80,Europe,Albania,2002,35-54 years,50,757252,1573,6.6
81,Europe,Albania,2002,5-14 years,2,624323,1573,0.32
82,Europe,Albania,2002,55-74 years,17,389842,1573,4.36
83,Europe,Albania,2002,75+ years,5,78414,1573,6.38
84,Europe,Albania,2003,15-24 years,29,556944,2021,5.21
85,Europe,Albania,2003,25-34 years,18,428374,2021,4.2
86,Europe,Albania,2003,35-54 years,41,767956,2021,5.34
87,Europe,Albania,2003,5-14 years,4,611681,2021,0.65
88,Europe,Albania,2003,55-74 years,25,397219,2021,6.29
89,Europe,Albania,2003,75+ years,7,81755,2021,8.56
90,Europe,Albania,2004,15-24 years,39,579036,2544,6.74
91,Europe,Albania,2004,25-34 years,27,426327,2544,6.33
92,Europe,Albania,2004,35-54 years,56,783203,2544,7.15
93,Europe,Albania,2004,5-14 years,4,588886,2544,0.68
94,Europe,Albania,2004,55-74 years,13,411043,2544,3.16
95,Europe,Albania,2004,75+ years,7,86496,2544,8.09
96,Europe,Albania,2005,15-24 years,0,563597,2931,0.0
97,Europe,Albania,2005,25-34 years,0,368264,2931,0.0
98,Europe,Albania,2005,35-54 years,0,766755,2931,0.0
99,Europe,Albania,2005,5-14 years,0,567926,2931,0.0
100,Europe,Albania,2005,55-74 years,0,425116,2931,0.0
101,Europe,Albania,2005,75+ years,0,91662,2931,0.0
102,Europe,Albania,2006,15-24 years,0,569817,3235,0.0
103,Europe,Albania,2006,25-34 years,0,360483,3235,0.0
104,Europe,Albania,2006,35-54 years,0,767822,3235,0.0
105,Europe,Albania,2006,5-14 years,0,549994,3235,0.0
106,Europe,Albania,2006,55-74 years,0,435267,3235,0.0
107,Europe,Albania,2006,75+ years,0,96793,3235,0.0
108,Europe,Albania,2007,15-24 years,26,569429,3863,4.57
109,Europe,Albania,2007,25-34 years,17,356123,3863,4.77
110,Europe,Albania,2007,35-54 years,43,770437,3863,5.58
111,Europe,Albania,2007,5-14 years,4,529305,3863,0.76
112,Europe,Albania,2007,55-74 years,23,445280,3863,5.17
113,Europe,Albania,2007,75+ years,11,99770,3863,11.03
114,Europe,Albania,2008,15-24 years,31,562775,4672,5.51
115,Europe,Albania,2008,25-34 years,30,355518,4672,8.44
116,Europe,Albania,2008,35-54 years,56,770951,4672,7.26
117,Europe,Albania,2008,5-14 years,8,508752,4672,1.57
118,Europe,Albania,2008,55-74 years,28,455120,4672,6.15
119,Europe,Albania,2008,75+ years,7,103943,4672,6.73
120,Europe,Albania,2009,15-24 years,0,553451,4387,0.0
121,Europe,Albania,2009,25-34 years,0,357667,4387,0.0
122,Europe,Albania,2009,35-54 years,0,768651,4387,0.0
123,Europe,Albania,2009,5-14 years,0,489181,4387,0.0
124,Europe,Albania,2009,55-74 years,0,467872,4387,0.0
125,Europe,Albania,2009,75+ years,0,108913,4387,0.0
126,Europe,Albania,2010,15-24 years,16,543089,4359,2.95
127,Europe,Albania,2010,25-34 years,15,363299,4359,4.13
128,Europe,Albania,2010,35-54 years,32,766204,4359,4.18
129,Europe,Albania,2010,5-14 years,2,464908,4359,0.43
130,Europe,Albania,2010,55-74 years,27,483343,4359,5.59
131,Europe,Albania,2010,75+ years,4,115182,4359,3.47
132,N. america,Antigua and Barbuda,1985,15-24 years,0,15376,3850,0.0
133,N. america,Antigua and Barbuda,1985,25-34 years,0,12538,3850,0.0
134,N. america,Antigua and Barbuda,1985,35-54 years,0,12143,3850,0.0
135,N. america,Antigua and Barbuda,1985,5-14 years,0,14643,3850,0.0
136,N. america,Antigua and Barbuda,1985,55-74 years,0,6501,3850,0.0
137,N. america,Antigua and Barbuda,1985,75+ years,0,1373,3850,0.0
138,N. america,Antigua and Barbuda,1986,15-24 years,0,15231,4740,0.0
139,N. america,Antigua and Barbuda,1986,25-34 years,0,12232,4740,0.0
140,N. america,Antigua and Barbuda,1986,35-54 years,0,12048,4740,0.0
141,N. america,Antigua and Barbuda,1986,5-14 years,0,13734,4740,0.0
142,N. america,Antigua and Barbuda,1986,55-74 years,0,6535,4740,0.0
143,N. america,Antigua and Barbuda,1986,75+ years,0,1490,4740,0.0
144,N. america,Antigua and Barbuda,1987,15-24 years,0,15004,5595,0.0
145,N. america,Antigua and Barbuda,1987,25-34 years,0,11994,5595,0.0
146,N. america,Antigua and Barbuda,1987,35-54 years,0,11986,5595,0.0
147,N. america,Antigua and Barbuda,1987,5-14 years,0,13122,5595,0.0
148,N. america,Antigua and Barbuda,1987,55-74 years,0,6536,5595,0.0
149,N. america,Antigua and Barbuda,1987,75+ years,0,1619,5595,0.0
150,N. america,Antigua and Barbuda,1988,15-24 years,0,14622,6693,0.0
151,N. america,Antigua and Barbuda,1988,25-34 years,0,11867,6693,0.0
152,N. america,Antigua and Barbuda,1988,35-54 years,0,11928,6693,0.0
153,N. america,Antigua and Barbuda,1988,5-14 years,0,12882,6693,0.0
154,N. america,Antigua and Barbuda,1988,55-74 years,0,6521,6693,0.0
155,N. america,Antigua and Barbuda,1988,75+ years,0,1744,6693,0.0
156,N. america,Antigua and Barbuda,1989,15-24 years,0,14079,7407,0.0
157,N. america,Antigua and Barbuda,1989,25-34 years,0,11894,7407,0.0
158,N. america,Antigua and Barbuda,1989,35-54 years,0,11831,7407,0.0
159,N. america,Antigua and Barbuda,1989,5-14 years,0,13024,7407,0.0
160,N. america,Antigua and Barbuda,1989,55-74 years,0,6539,7407,0.0
161,N. america,Antigua and Barbuda,1989,75+ years,0,1871,7407,0.0
162,N. america,Antigua and Barbuda,1990,15-24 years,0,13425,7744,0.0
163,N. america,Antigua and Barbuda,1990,25-34 years,0,12109,7744,0.0
164,N. america,Antigua and Barbuda,1990,35-54 years,1,11694,7744,8.55
165,N. america,Antigua and Barbuda,1990,5-14 years,0,13488,7744,0.0
166,N. america,Antigua and Barbuda,1990,55-74 years,0,6608,7744,0.0
167,N. america,Antigua and Barbuda,1990,75+ years,0,2010,7744,0.0
168,N. america,Antigua and Barbuda,1991,15-24 years,0,12996,7976,0.0
169,N. america,Antigua and Barbuda,1991,25-34 years,0,12552,7976,0.0
170,N. america,Antigua and Barbuda,1991,35-54 years,0,12320,7976,0.0
171,N. america,Antigua and Barbuda,1991,5-14 years,0,13907,7976,0.0
172,N. america,Antigua and Barbuda,1991,55-74 years,0,6522,7976,0.0
173,N. america,Antigua and Barbuda,1991,75+ years,0,2097,7976,0.0
174,N. america,Antigua and Barbuda,1992,15-24 years,0,12590,8087,0.0
175,N. america,Antigua and Barbuda,1992,25-34 years,0,13059,8087,0.0
176,N. america,Antigua and Barbuda,1992,35-54 years,0,13031,8087,0.0
177,N. america,Antigua and Barbuda,1992,5-14 years,0,14370,8087,0.0
178,N. america,Antigua and Barbuda,1992,55-74 years,0,6499,8087,0.0
179,N. america,Antigua and Barbuda,1992,75+ years,0,2192,8087,0.0
180,N. america,Antigua and Barbuda,1993,15-24 years,0,12251,8453,0.0
181,N. america,Antigua and Barbuda,1993,25-34 years,1,13582,8453,7.36
182,N. america,Antigua and Barbuda,1993,35-54 years,0,13832,8453,0.0
183,N. america,Antigua and Barbuda,1993,5-14 years,0,14827,8453,0.0
184,N. america,Antigua and Barbuda,1993,55-74 years,0,6541,8453,0.0
185,N. america,Antigua and Barbuda,1993,75+ years,0,2282,8453,0.0
186,N. america,Antigua and Barbuda,1994,15-24 years,0,12059,9062,0.0
187,N. america,Antigua and Barbuda,1994,25-34 years,0,14037,9062,0.0
188,N. america,Antigua and Barbuda,1994,35-54 years,0,14716,9062,0.0
189,N. america,Antigua and Barbuda,1994,5-14 years,0,15216,9062,0.0
190,N. america,Antigua and Barbuda,1994,55-74 years,0,6650,9062,0.0
191,N. america,Antigua and Barbuda,1994,75+ years,0,2366,9062,0.0
192,N. america,Antigua and Barbuda,1995,15-24 years,0,12052,8636,0.0
193,N. america,Antigua and Barbuda,1995,25-34 years,0,14356,8636,0.0
194,N. america,Antigua and Barbuda,1995,35-54 years,0,15660,8636,0.0
195,N. america,Antigua and Barbuda,1995,5-14 years,0,15517,8636,0.0
196,N. america,Antigua and Barbuda,1995,55-74 years,0,6829,8636,0.0
197,N. america,Antigua and Barbuda,1995,75+ years,0,2432,8636,0.0
198,N. america,Antigua and Barbuda,1998,15-24 years,0,12445,10078,0.0
199,N. america,Antigua and Barbuda,1998,25-34 years,0,15626,10078,0.0
200,N. america,Antigua and Barbuda,1998,35-54 years,0,18701,10078,0.0
201,N. america,Antigua and Barbuda,1998,5-14 years,0,15889,10078,0.0
202,N. america,Antigua and Barbuda,1998,55-74 years,0,7134,10078,0.0
203,N. america,Antigua and Barbuda,1998,75+ years,0,2430,10078,0.0
204,N. america,Antigua and Barbuda,1999,15-24 years,0,12434,10378,0.0
205,N. america,Antigua and Barbuda,1999,25-34 years,0,15789,10378,0.0
206,N. america,Antigua and Barbuda,1999,35-54 years,0,19848,10378,0.0
207,N. america,Antigua and Barbuda,1999,5-14 years,0,16119,10378,0.0
208,N. america,Antigua and Barbuda,1999,55-74 years,0,7244,10378,0.0
209,N. america,Antigua and Barbuda,1999,75+ years,0,2398,10378,0.0
210,N. america,Antigua and Barbuda,2000,15-24 years,0,12399,11021,0.0
211,N. america,Antigua and Barbuda,2000,25-34 years,0,15772,11021,0.0
212,N. america,Antigua and Barbuda,2000,35-54 years,1,21073,11021,4.75
213,N. america,Antigua and Barbuda,2000,5-14 years,0,16412,11021,0.0
214,N. america,Antigua and Barbuda,2000,55-74 years,1,7319,11021,13.66
215,N. america,Antigua and Barbuda,2000,75+ years,0,2351,11021,0.0
216,N. america,Antigua and Barbuda,2001,15-24 years,0,12986,10468,0.0
217,N. america,Antigua and Barbuda,2001,25-34 years,0,15496,10468,0.0
218,N. america,Antigua and Barbuda,2001,35-54 years,2,21683,10468,9.22
219,N. america,Antigua and Barbuda,2001,5-14 years,0,16386,10468,0.0
220,N. america,Antigua and Barbuda,2001,55-74 years,0,7479,10468,0.0
221,N. america,Antigua and Barbuda,2001,75+ years,0,2467,10468,0.0
222,N. america,Antigua and Barbuda,2002,15-24 years,0,13612,10499,0.0
223,N. america,Antigua and Barbuda,2002,25-34 years,0,15076,10499,0.0
224,N. america,Antigua and Barbuda,2002,35-54 years,0,22364,10499,0.0
225,N. america,Antigua and Barbuda,2002,5-14 years,0,16388,10499,0.0
226,N. america,Antigua and Barbuda,2002,55-74 years,0,7577,10499,0.0
227,N. america,Antigua and Barbuda,2002,75+ years,0,2571,10499,0.0
228,N. america,Antigua and Barbuda,2003,15-24 years,0,14184,10878,0.0
229,N. america,Antigua and Barbuda,2003,25-34 years,0,14565,10878,0.0
230,N. america,Antigua and Barbuda,2003,35-54 years,0,23126,10878,0.0
231,N. america,Antigua and Barbuda,2003,5-14 years,0,16484,10878,0.0
