continent,country,year,age,suicides_no,population,gdp_per_capita ($),s_rate,oecd
Oceania,AUSTRALIA,1985,15-24 years,384,2659800,12374,14.44,1
Oceania,AUSTRALIA,1985,25-34 years,421,2575000,12374,16.35,1
Oceania,AUSTRALIA,1985,35-54 years,554,3739500,12374,14.81,1
Oceania,AUSTRALIA,1985,5-14 years,8,2522000,12374,0.32,1
Oceania,AUSTRALIA,1985,55-74 years,391,2464300,12374,15.87,1
Oceania,AUSTRALIA,1985,75+ years,103,601900,12374,17.11,1
Oceania,AUSTRALIA,1986,15-24 years,373,2684000,12288,13.9,1
Oceania,AUSTRALIA,1986,25-34 years,455,2617700,12288,17.38,1
Oceania,AUSTRALIA,1986,35-54 years,656,3860100,12288,16.99,1
Oceania,AUSTRALIA,1986,5-14 years,19,2491000,12288,0.76,1
Oceania,AUSTRALIA,1986,55-74 years,429,2518300,12288,17.04,1
Oceania,AUSTRALIA,1986,75+ years,112,638700,12288,17.54,1
Oceania,AUSTRALIA,1987,15-24 years,427,2713600,12564,15.74,1
Oceania,AUSTRALIA,1987,25-34 years,444,2673600,12564,16.61,1
Oceania,AUSTRALIA,1987,35-54 years,699,3981500,12564,17.56,1
Oceania,AUSTRALIA,1987,5-14 years,7,2466200,12564,0.28,1
Oceania,AUSTRALIA,1987,55-74 years,438,2545600,12564,17.21,1
Oceania,AUSTRALIA,1987,75+ years,149,666000,12564,22.37,1
Oceania,AUSTRALIA,1988,15-24 years,419,2736100,15393,15.31,1
Oceania,AUSTRALIA,1988,25-34 years,504,2729800,15393,18.46,1
Oceania,AUSTRALIA,1988,35-54 years,689,4116100,15393,16.74,1
Oceania,AUSTRALIA,1988,5-14 years,7,2464700,15393,0.28,1
Oceania,AUSTRALIA,1988,55-74 years,420,2570900,15393,16.34,1
Oceania,AUSTRALIA,1988,75+ years,133,694500,15393,19.15,1
Oceania,AUSTRALIA,1989,15-24 years,404,2749000,19223,14.7,1
Oceania,AUSTRALIA,1989,25-34 years,493,2782800,19223,17.72,1
Oceania,AUSTRALIA,1989,35-54 years,605,4243600,19223,14.26,1
Oceania,AUSTRALIA,1989,5-14 years,9,2481100,19223,0.36,1
Oceania,AUSTRALIA,1989,55-74 years,433,2595400,19223,16.68,1
Oceania,AUSTRALIA,1989,75+ years,122,718700,19223,16.98,1
Oceania,AUSTRALIA,1990,15-24 years,438,2760700,19665,15.87,1
Oceania,AUSTRALIA,1990,25-34 years,527,2816200,19665,18.71,1
Oceania,AUSTRALIA,1990,35-54 years,685,4375400,19665,15.66,1
Oceania,AUSTRALIA,1990,5-14 years,5,2496800,19665,0.2,1
Oceania,AUSTRALIA,1990,55-74 years,423,2615400,19665,16.17,1
Oceania,AUSTRALIA,1990,75+ years,124,742500,19665,16.7,1
Oceania,AUSTRALIA,1991,15-24 years,438,2760800,20320,15.86,1
Oceania,AUSTRALIA,1991,25-34 years,518,2825400,20320,18.33,1
Oceania,AUSTRALIA,1991,35-54 years,800,4498700,20320,17.78,1
Oceania,AUSTRALIA,1991,5-14 years,10,2513800,20320,0.4,1
Oceania,AUSTRALIA,1991,55-74 years,369,2644900,20320,13.95,1
Oceania,AUSTRALIA,1991,75+ years,153,768500,20320,19.91,1
Oceania,AUSTRALIA,1992,15-24 years,460,2756600,20050,16.69,1
Oceania,AUSTRALIA,1992,25-34 years,503,2829800,20050,17.78,1
Oceania,AUSTRALIA,1992,35-54 years,723,4617100,20050,15.66,1
Oceania,AUSTRALIA,1992,5-14 years,6,2528600,20050,0.24,1
Oceania,AUSTRALIA,1992,55-74 years,427,2675700,20050,15.96,1
Oceania,AUSTRALIA,1992,75+ years,132,795700,20050,16.59,1
Oceania,AUSTRALIA,1993,15-24 years,382,2746400,19030,13.91,1
Oceania,AUSTRALIA,1993,25-34 years,468,2823000,19030,16.58,1
Oceania,AUSTRALIA,1993,35-54 years,684,4729600,19030,14.46,1
Oceania,AUSTRALIA,1993,5-14 years,7,2539700,19030,0.28,1
Oceania,AUSTRALIA,1993,55-74 years,368,2713100,19030,13.56,1
Oceania,AUSTRALIA,1993,75+ years,129,818200,19030,15.77,1
Oceania,AUSTRALIA,1994,15-24 years,432,2732700,19469,15.81,1
Oceania,AUSTRALIA,1994,25-34 years,514,2826400,19469,18.19,1
Oceania,AUSTRALIA,1994,35-54 years,810,4841500,19469,16.73,1
Oceania,AUSTRALIA,1994,5-14 years,4,2553300,19469,0.16,1
Oceania,AUSTRALIA,1994,55-74 years,390,2756700,19469,14.15,1
Oceania,AUSTRALIA,1994,75+ years,133,838800,19469,15.86,1
Oceania,AUSTRALIA,1995,15-24 years,399,2695900,21902,14.8,1
Oceania,AUSTRALIA,1995,25-34 years,531,2838600,21902,18.71,1
Oceania,AUSTRALIA,1995,35-54 years,767,4979600,21902,15.4,1
Oceania,AUSTRALIA,1995,5-14 years,4,2587800,21902,0.15,1
Oceania,AUSTRALIA,1995,55-74 years,353,2796900,21902,12.62,1
Oceania,AUSTRALIA,1995,75+ years,116,867500,21902,13.37,1
Oceania,AUSTRALIA,1996,15-24 years,425,2676000,23526,15.88,1
Oceania,AUSTRALIA,1996,25-34 years,569,2862600,23526,19.88,1
Oceania,AUSTRALIA,1996,35-54 years,851,5119800,23526,16.62,1
