Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Korea, Rep.",KOR,2012,Income share held by second 20%,SI.DST.02ND.20,13
"Korea, Rep.",KOR,2010,Income share held by second 20%,SI.DST.02ND.20,12.9
"Korea, Rep.",KOR,2008,Income share held by second 20%,SI.DST.02ND.20,12.8
"Korea, Rep.",KOR,2006,Income share held by second 20%,SI.DST.02ND.20,12.9
"Korea, Rep.",KOR,2012,Income share held by third 20%,SI.DST.03RD.20,17.5
"Korea, Rep.",KOR,2010,Income share held by third 20%,SI.DST.03RD.20,17.3
"Korea, Rep.",KOR,2008,Income share held by third 20%,SI.DST.03RD.20,17.2
"Korea, Rep.",KOR,2006,Income share held by third 20%,SI.DST.03RD.20,17.5
"Korea, Rep.",KOR,2012,Income share held by fourth 20%,SI.DST.04TH.20,23.2
"Korea, Rep.",KOR,2010,Income share held by fourth 20%,SI.DST.04TH.20,23.1
"Korea, Rep.",KOR,2008,Income share held by fourth 20%,SI.DST.04TH.20,23
"Korea, Rep.",KOR,2006,Income share held by fourth 20%,SI.DST.04TH.20,23.1
"Korea, Rep.",KOR,2012,Income share held by highest 20%,SI.DST.05TH.20,39
"Korea, Rep.",KOR,2010,Income share held by highest 20%,SI.DST.05TH.20,39.4
"Korea, Rep.",KOR,2008,Income share held by highest 20%,SI.DST.05TH.20,39.7
"Korea, Rep.",KOR,2006,Income share held by highest 20%,SI.DST.05TH.20,39.2
"Korea, Rep.",KOR,2012,Income share held by highest 10%,SI.DST.10TH.10,23.8
"Korea, Rep.",KOR,2010,Income share held by highest 10%,SI.DST.10TH.10,24.2
"Korea, Rep.",KOR,2008,Income share held by highest 10%,SI.DST.10TH.10,24.5
"Korea, Rep.",KOR,2006,Income share held by highest 10%,SI.DST.10TH.10,24
"Korea, Rep.",KOR,2012,Income share held by lowest 10%,SI.DST.FRST.10,2.6
"Korea, Rep.",KOR,2010,Income share held by lowest 10%,SI.DST.FRST.10,2.6
"Korea, Rep.",KOR,2008,Income share held by lowest 10%,SI.DST.FRST.10,2.6
"Korea, Rep.",KOR,2006,Income share held by lowest 10%,SI.DST.FRST.10,2.7
"Korea, Rep.",KOR,2012,Income share held by lowest 20%,SI.DST.FRST.20,7.3
"Korea, Rep.",KOR,2010,Income share held by lowest 20%,SI.DST.FRST.20,7.3
"Korea, Rep.",KOR,2008,Income share held by lowest 20%,SI.DST.FRST.20,7.2
"Korea, Rep.",KOR,2006,Income share held by lowest 20%,SI.DST.FRST.20,7.3
"Korea, Rep.",KOR,2012,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.2
"Korea, Rep.",KOR,2010,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.5
"Korea, Rep.",KOR,2008,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.2
"Korea, Rep.",KOR,2006,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.2
"Korea, Rep.",KOR,2012,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,0.1
"Korea, Rep.",KOR,2010,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,0.2
"Korea, Rep.",KOR,2008,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,0.2
"Korea, Rep.",KOR,2006,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,0.2
"Korea, Rep.",KOR,2012,GINI index (World Bank estimate),SI.POV.GINI,31.6
"Korea, Rep.",KOR,2010,GINI index (World Bank estimate),SI.POV.GINI,32
"Korea, Rep.",KOR,2008,GINI index (World Bank estimate),SI.POV.GINI,32.3
"Korea, Rep.",KOR,2006,GINI index (World Bank estimate),SI.POV.GINI,31.7
"Korea, Rep.",KOR,2012,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5
"Korea, Rep.",KOR,2010,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.7
"Korea, Rep.",KOR,2008,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5
"Korea, Rep.",KOR,2006,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5
"Korea, Rep.",KOR,2012,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,0.2
"Korea, Rep.",KOR,2010,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,0.3
"Korea, Rep.",KOR,2008,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,0.3
"Korea, Rep.",KOR,2006,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,0.3
"Korea, Rep.",KOR,2012,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,1.2
"Korea, Rep.",KOR,2010,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,1.5
"Korea, Rep.",KOR,2008,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,1.2
"Korea, Rep.",KOR,2006,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,1.2
"Korea, Rep.",KOR,2012,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,0.5
"Korea, Rep.",KOR,2010,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,0.7
"Korea, Rep.",KOR,2008,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,0.5
"Korea, Rep.",KOR,2006,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,0.5
