year,alcohol per capita,country
1963,4.27,RUSSIAN FEDERATION
1964,4.4,RUSSIAN FEDERATION
1965,4.58,RUSSIAN FEDERATION
1966,4.61,RUSSIAN FEDERATION
1967,4.92,RUSSIAN FEDERATION
1968,5.13,RUSSIAN FEDERATION
1969,5.21,RUSSIAN FEDERATION
1970,5.16,RUSSIAN FEDERATION
1971,4.92,RUSSIAN FEDERATION
1972,4.47,RUSSIAN FEDERATION
1973,4.37,RUSSIAN FEDERATION
1974,4.33,RUSSIAN FEDERATION
1975,4.3,RUSSIAN FEDERATION
1976,4.27,RUSSIAN FEDERATION
1977,4.25,RUSSIAN FEDERATION
1978,4.23,RUSSIAN FEDERATION
1979,4.22,RUSSIAN FEDERATION
1980,4.21,RUSSIAN FEDERATION
1981,4.21,RUSSIAN FEDERATION
1982,4.22,RUSSIAN FEDERATION
1983,4.24,RUSSIAN FEDERATION
1984,4.77,RUSSIAN FEDERATION
1985,4.01,RUSSIAN FEDERATION
1986,2.46,RUSSIAN FEDERATION
1987,2.08,RUSSIAN FEDERATION
1988,2.34,RUSSIAN FEDERATION
1989,2.6,RUSSIAN FEDERATION
1990,4.68,RUSSIAN FEDERATION
1991,5.31,RUSSIAN FEDERATION
1992,4.95,RUSSIAN FEDERATION
1993,6.24,RUSSIAN FEDERATION
1994,7.03,RUSSIAN FEDERATION
1995,8.87,RUSSIAN FEDERATION
1996,6.91,RUSSIAN FEDERATION
1997,6.88,RUSSIAN FEDERATION
1998,7.44,RUSSIAN FEDERATION
1999,7.99,RUSSIAN FEDERATION
2000,7.29,RUSSIAN FEDERATION
2001,7.09,RUSSIAN FEDERATION
2002,7.15,RUSSIAN FEDERATION
2003,7.32,RUSSIAN FEDERATION
2004,7.09,RUSSIAN FEDERATION
2005,6.9,RUSSIAN FEDERATION
2006,6.72,RUSSIAN FEDERATION
2007,6.34,RUSSIAN FEDERATION
2008,6.16,RUSSIAN FEDERATION
2009,5.79,RUSSIAN FEDERATION
2010,5.06,RUSSIAN FEDERATION
2011,5.04,RUSSIAN FEDERATION
2012,4.95,RUSSIAN FEDERATION
2013,4.36,RUSSIAN FEDERATION
2014,3.6,RUSSIAN FEDERATION
2015,3.36,RUSSIAN FEDERATION
2016,3.25,RUSSIAN FEDERATION
2017,3.02,RUSSIAN FEDERATION
2018,2.81,RUSSIAN FEDERATION
2019,2.6,RUSSIAN FEDERATION
