Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Korea, Rep.",KOR,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,630.0079956
"Korea, Rep.",KOR,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,630.0079956
"Korea, Rep.",KOR,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,630.0079956
"Korea, Rep.",KOR,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.635875186
"Korea, Rep.",KOR,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.635875186
"Korea, Rep.",KOR,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.635875186
"Korea, Rep.",KOR,2010,Urban land area (sq. km),AG.LND.TOTL.UR.K2,21922.01563
"Korea, Rep.",KOR,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,21922.01563
"Korea, Rep.",KOR,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,21922.01563
"Korea, Rep.",KOR,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Korea, Rep.",KOR,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
