Year,Alcohol per Capita,country
1960,3.26,UNITED STATES
1961,3.26,UNITED STATES
1962,3.41,UNITED STATES
1963,3.44,UNITED STATES
1964,3.6,UNITED STATES
1965,3.75,UNITED STATES
1966,3.86,UNITED STATES
1967,3.97,UNITED STATES
1968,4.16,UNITED STATES
1969,4.28,UNITED STATES
1970,4.2,UNITED STATES
1971,4.24,UNITED STATES
1972,4.13,UNITED STATES
1973,4.16,UNITED STATES
1974,4.2,UNITED STATES
1975,4.2,UNITED STATES
1976,4.16,UNITED STATES
1977,4.01,UNITED STATES
1978,4.05,UNITED STATES
1979,4.01,UNITED STATES
1980,3.94,UNITED STATES
1981,3.86,UNITED STATES
1982,3.71,UNITED STATES
1983,3.63,UNITED STATES
1984,3.56,UNITED STATES
1985,3.41,UNITED STATES
1986,3.18,UNITED STATES
1987,3.1,UNITED STATES
1988,2.99,UNITED STATES
1989,2.91,UNITED STATES
1990,2.91,UNITED STATES
1991,2.69,UNITED STATES
1992,2.69,UNITED STATES
1993,2.57,UNITED STATES
1994,2.46,UNITED STATES
1995,2.38,UNITED STATES
1996,2.38,UNITED STATES
1997,2.35,UNITED STATES
1998,2.35,UNITED STATES
1999,2.38,UNITED STATES
2000,2.42,UNITED STATES
2001,2.42,UNITED STATES
2002,2.42,UNITED STATES
2003,2.54,UNITED STATES
2004,2.57,UNITED STATES
2005,2.65,UNITED STATES
2006,2.69,UNITED STATES
2007,2.76,UNITED STATES
2008,2.76,UNITED STATES
2009,2.8,UNITED STATES
2010,2.81,UNITED STATES
2011,2.89,UNITED STATES
2012,2.96,UNITED STATES
2013,2.99,UNITED STATES
2014,3.01,UNITED STATES
2015,3.07,UNITED STATES
2016,3.09,UNITED STATES
2017,3.11,UNITED STATES
2018,3.14,UNITED STATES
2019,3.17,UNITED STATES
